方向,編號,"收費區
設定里程",小車牌價,交流道(起),交流道(迄),,緯度(北緯),,經度(東經)
N,01F-352.5N,5.9,7,楠梓(旗楠路),岡山,N,22.761672,E,120.330806
N,01F-355.9N,1.8,2.1,楠梓(鳳楠路),楠梓(旗楠路),N,22.730903,E,120.334286
N,01F-359.0N,5.2,6.2,鼎金系統(連接國10、大中路),楠梓(鳳楠路),N,22.703525,E,120.328219
N,01F-364.0N,4.3,5.1,高雄(九如、建國路),鼎金系統(連接國10、大中路),N,22.658892,E,120.332081
N,01F-367.6N,1.2,1.4,高雄(中正、三多路),高雄(九如、建國路),N,22.627819,E,120.336222
N,01F-369.6N,2.9,3.4,瑞隆路南下出口匝道,高雄(中正、三多路),N,22.609428,E,120.339608
N,01F-373.6N,1.2,1.4,高雄端(新生路),高雄端(中山四路),N,22.581933,E,120.32315
S,01H-016.3S,7.5,9,汐止&汐止系統(連接國1平面),堤頂,N,25.064006,E,121.598733
S,01H-020.6S,6.8,8.1,堤頂,環北,N,25.07275,E,121.557739
S,01H-030.5S,7.4,8.8,環北,五股(高架),N,25.072747,E,121.450939
S,01H-033.4S,1.4,1.6,五股(高架),高公局,N,25.068728,E,121.433281
S,01H-044.7S,17.8,21.3,高公局,機場系統(連接國2),N,25.060125,E,121.331858
S,01H-057.9S,10.2,12.2,機場系統(連接國2),中壢,N,24.984094,E,121.232531
S,01H-061.0S,6.7,8,中壢,楊梅,N,24.96525,E,121.209867
N,01H-017.4N,7.5,9,堤頂,汐止&汐止系統(連接國1平面),N,25.065544,E,121.588044
N,01H-020.0N,1.7,2,下塔悠北上出口匝道,堤頂,N,25.070994,E,121.562519
N,01H-020.8N,5.1,6.1,環北,下塔悠北上出口匝道,N,25.072261,E,121.555014
N,01H-027.1N,7.4,8.8,五股(高架),環北,N,25.075256,E,121.494019
N,01H-033.3N,1.4,1.6,高公局,五股(高架),N,25.068147,E,121.435133
N,01H-044.7N,17.8,21.3,機場系統(連接國2),高公局,N,25.059242,E,121.332072
N,01H-057.9N,10.2,12.2,中壢,機場系統(連接國2),N,24.983667,E,121.232981
N,01H-060.8N,6.7,8,楊梅,中壢,N,24.965878,E,121.211614
S,03F-000.6S,2.3,2.7,基金,瑪東系統(連接台62),N,25.137106,E,121.708908
S,03F-008.7S,8.4,10,瑪東系統(連接台62),汐止系統(連接國1),N,25.089994,E,121.653556
S,03F-011.6S,2.1,2.5,汐止系統(連接國1),新台五路,N,25.065611,E,121.643467
S,03F-013.6S,1.7,2,新台五路,南港(連接環東大道),N,25.052742,E,121.631281
S,03F-015.8S,1.2,1.4,南港(連接環東大道),南港系統(連接國五),N,25.036533,E,121.621386
S,03F-020.1S,4.7,5.6,南港系統(連接國五),木柵(連接國3甲),N,25.007436,E,121.595981
S,03F-021.7S,6.3,7.5,木柵(連接國3甲),新店(中興路),N,24.993567,E,121.592933
S,03F-030.1S,4.1,4.9,新店(中興路),安坑(中央、安康路),N,24.96255,E,121.530572
S,03F-033.7S,4.8,5.7,安坑(中央、安康路),中和(連接台64),N,24.978881,E,121.502381
S,03F-039.4S,6.7,8,中和(連接台64),土城(連接台65),N,24.975247,E,121.454925
S,03F-044.7S,4.9,5.8,土城(連接台65),樹林,N,24.950503,E,121.412681
S,03F-049.8S,3.3,3.9,樹林,三鶯,N,24.943825,E,121.365275
S,03F-052.5S,3.7,4.4,三鶯,鶯歌系統(連接國2),N,24.936025,E,121.3419
S,03F-055.9S,8.4,10,鶯歌系統(連接國2),大溪(連接台66),N,24.930225,E,121.312458
S,03F-064.8S,5.5,6.6,大溪(連接台66),龍潭,N,24.878792,E,121.250839
S,03F-069.8S,7.9,9.4,龍潭,關西服務區,N,24.856558,E,121.208581
S,03F-078.3S,3,3.6,關西服務區,關西,N,24.797339,E,121.179128
S,03F-084.6S,11.1,13.3,關西,竹林,N,24.791439,E,121.125997
S,03F-096.1S,8.5,10.2,竹林,寶山,N,24.758442,E,121.030425
S,03F-099.6S,1.9,2.2,寶山,新竹系統(連接國1),N,24.755811,E,120.997269
S,03F-102.2S,3.2,3.8,新竹系統(連接國1),茄苳,N,24.757914,E,120.972267
S,03F-105.1S,5.3,6.3,茄苳,香山,N,24.753094,E,120.945675
S,03F-112.8S,5.6,6.7,香山,西濱(連接台61),N,24.711383,E,120.889639
S,03F-116.1S,3.7,4.4,西濱(連接台61),竹南,N,24.698006,E,120.860086
S,03F-121.5S,5.4,6.4,竹南,大山,N,24.655964,E,120.838242
S,03F-125.7S,5.7,6.8,大山,後龍,N,24.627161,E,120.814006
S,03F-133.2S,4.7,5.6,後龍,西湖服務區,N,24.579642,E,120.764417
S,03F-139.5S,9.4,11.2,西湖服務區,通霄,N,24.531125,E,120.733253
S,03F-148.5S,12.5,15,通霄,苑裡,N,24.467308,E,120.681217
S,03F-163.3S,7.5,9,苑裡,大甲,N,24.341119,E,120.651567
S,03F-165.1S,4.7,5.6,大甲,中港系統(連接國4),N,24.334719,E,120.635578
S,03F-171.0S,3.5,4.2,中港系統(連接國4),清水服務區,N,24.292881,E,120.601964
S,03F-173.9S,3.7,4.4,清水服務區,沙鹿,N,24.269464,E,120.590806
S,03F-177.9S,6.7,8,沙鹿,龍井,N,24.234647,E,120.593306
S,03F-186.0S,8.8,10.5,龍井,和美,N,24.177831,E,120.548244
S,03F-194.4S,5.1,6.1,和美,彰化系統(連接國1),N,24.119011,E,120.536692
S,03F-199.1S,5.4,6.4,彰化系統(連接國1),快官(連接台74),N,24.102808,E,120.577661
S,03F-206.6S,5.2,6.2,快官(連接台74),烏日,N,24.070333,E,120.639711
S,03F-207.9S,1.8,2.1,烏日,中投(連接台63),N,24.067778,E,120.652361
S,03F-210.0S,2.3,2.7,中投(連接台63),霧峰(台3線、太平-台74),N,24.060653,E,120.670964
S,03F-212.9S,2.9,3.4,霧峰(台3線、太平-台74),霧峰系統(連接國6),N,24.037392,E,120.675775
S,03F-215.2S,3,3.6,霧峰系統(連接國6),草屯,N,24.019992,E,120.663222
S,03F-219.4S,5.6,6.7,草屯,中興系統(台76-八卦山隧道),N,23.985844,E,120.652714
S,03F-223.5S,1.8,2.1,中興系統(台76-八卦山隧道),中興,N,23.955503,E,120.661267
S,03F-226.1S,3.8,4.5,中興,南投,N,23.9376,E,120.677039
S,03F-230.6S,3,3.6,南投,南投服務區,N,23.906781,E,120.702828
S,03F-233.6S,5.6,6.7,南投服務區,名間,N,23.882031,E,120.709186
S,03F-241.5S,6.7,8,名間,竹山,N,23.814836,E,120.700003
S,03F-244.7S,6.3,7.5,竹山,南雲,N,23.787486,E,120.704519
S,03F-253.5S,10.2,12.2,南雲,斗六,N,23.775581,E,120.6259
S,03F-261.4S,8.1,9.7,斗六,古坑(文化路)&古坑系統(連接台78),N,23.724425,E,120.601786
S,03F-270.9S,2.1,2.5,古坑(文化路)&古坑系統(連接台78),古坑(朝陽路),N,23.649142,E,120.57295
S,03F-274.7S,5.7,6.8,古坑(朝陽路),古坑服務區,N,23.618203,E,120.558567
S,03F-277.7S,2.5,3,古坑服務區,梅山,N,23.606792,E,120.532511
S,03F-284.0S,9.6,11.5,梅山,竹崎(竹崎連絡道),N,23.558125,E,120.505061
S,03F-289.9S,2,2.4,竹崎(竹崎連絡道),竹崎(159縣道),N,23.511683,E,120.486328
S,03F-292.3S,6.5,7.8,竹崎(159縣道),中埔,N,23.492078,E,120.494586
S,03F-298.5S,2.9,3.4,中埔,水上系統(連接台82),N,23.442486,E,120.4812
S,03F-310.1S,11.3,13.5,水上系統(連接台82),白河,N,23.361253,E,120.436356
S,03F-318.7S,8.1,9.7,白河,東山服務區,N,23.296692,E,120.404164
S,03F-321.1S,2.8,3.3,東山服務區,柳營,N,23.279281,E,120.390253
S,03F-325.9S,7.1,8.5,柳營,烏山頭,N,23.244994,E,120.367378
S,03F-330.7S,5.1,6.1,烏山頭,官田系統(連接台84),N,23.203275,E,120.355461
S,03F-339.2S,5.3,6.3,官田系統(連接台84),善化,N,23.132064,E,120.333711
S,03F-344.5S,6.7,8,善化,新化系統(連接國8),N,23.085272,E,120.329033
S,03F-349.6S,10.1,12.1,新化系統(連接國8),關廟(連接台86),N,23.040203,E,120.325172
S,03F-358.8S,6.8,8.1,關廟(連接台86),關廟服務區,N,22.969758,E,120.340164
S,03F-367.0S,5.7,6.8,關廟服務區,田寮,N,22.901969,E,120.354767
S,03F-374.3S,13.5,16.2,田寮,燕巢系統(連接國10),N,22.845122,E,120.385428
S,03F-385.4S,7.9,9.4,燕巢系統(連接國10),九如,N,22.769197,E,120.441839
S,03F-391.6S,9.2,11,九如,長治,N,22.749792,E,120.496839
S,03F-401.8S,6.7,8,長治,麟洛,N,22.682775,E,120.563086
S,03F-414.2S,7.3,8.7,麟洛,竹田系統(連接台88),N,22.579586,E,120.526161
S,03F-416.8S,6.7,8,竹田系統(連接台88),崁頂,N,22.557186,E,120.524558
S,03F-423.2S,2.4,2.8,崁頂,南州,N,22.501367,E,120.525775
S,03F-426.3S,5.9,7,南州,林邊(大鵬灣端),N,22.474661,E,120.530844
N,03F-002.1N,2.3,2.7,瑪東系統(連接台62),基金,N,25.129514,E,121.698631
N,03F-005.4N,8.4,10,汐止系統(連接國1),瑪東系統(連接台62),N,25.103747,E,121.681789
N,03F-011.6N,2.1,2.5,新台五路,汐止系統(連接國1),N,25.065611,E,121.643467
N,03F-014.0N,1.7,2,南港(連接環東大道),新台五路,N,25.050319,E,121.628156
N,03F-015.0N,1.2,1.4,南港系統(連接國五)&南深路出口匝道,南港(連接環東大道),N,25.042389,E,121.624789
N,03F-020.1N,4.4,5.2,木柵(連接國3甲),南港系統(連接國五)&南深路出口匝道,N,25.007375,E,121.596381
N,03F-021.7N,6.3,7.5,新店(中興路),木柵(連接國3甲),N,24.993744,E,121.593367
N,03F-030.1N,4.1,4.9,安坑(中央、安康路),新店(中興路),N,24.96255,E,121.530572
N,03F-033.8N,4.8,5.7,中和(連接台64),安坑(中央、安康路),N,24.978586,E,121.501744
N,03F-039.4N,6.7,8,土城(連接台65),中和(連接台64),N,24.975247,E,121.454925
N,03F-044.7N,4.9,5.8,樹林,土城(連接台65),N,24.950503,E,121.412681
N,03F-049.8N,3.3,3.9,三鶯,樹林,N,24.943825,E,121.365275
N,03F-052.5N,3.7,4.4,鶯歌系統(連接國2),三鶯,N,24.936025,E,121.3419
N,03F-055.9N,8.4,10,大溪(連接台66),鶯歌系統(連接國2),N,24.930225,E,121.312458
N,03F-064.8N,5.5,6.6,龍潭,大溪(連接台66),N,24.878792,E,121.250839
N,03F-069.8N,7.9,9.4,關西服務區,龍潭,N,24.856558,E,121.208581
N,03F-078.3N,3,3.6,關西,關西服務區,N,24.797339,E,121.179128
N,03F-084.6N,11.1,13.3,竹林,關西,N,24.791439,E,121.125997
N,03F-096.1N,8.5,10.2,寶山,竹林,N,24.758442,E,121.030425
N,03F-099.6N,1.9,2.2,新竹系統(連接國1),寶山,N,24.755811,E,120.997269
