編號,地震時間,經度,緯度,規模,深度,位置
小區域有感地震,2024-08-24 09:39:39,121.948,24.4302,3.7,14.8,宜蘭縣政府南南東方  38.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-08-24 13:27:20,121.711,23.987,3.6,23.4,花蓮縣政府東方  9.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-08-24 22:39:24,121.766,24.3617,3.9,14.1,宜蘭縣政府南方  40.9  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2024-08-25 07:09:52,121.944,24.4378,3.3,16.3,宜蘭縣政府南南東方  37.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-08-25 18:12:18,121.634,24.0132,3.2,25.4,花蓮縣政府北北東方  2.8  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2024-08-26 14:43:23,121.747,24.2917,3.1,20.3,花蓮縣政府北北東方  35.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-08-26 18:01:48,121.302,23.275,3.6,10.5,花蓮縣政府南南西方  85.7  公里 (位於花蓮縣富里鄉)(花蓮縣富里鄉)
小區域有感地震,2024-08-26 23:28:52,122.281,24.1722,4.8,13,花蓮縣政府東北東方  70.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-08-27 03:05:45,121.188,23.1558,3.1,5.7,臺東縣政府北方  44.6  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2024-08-27 03:35:34,121.629,23.7993,3.6,31.6,花蓮縣政府南方  21.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-08-27 05:01:04,121.692,24.0992,3.4,5.9,花蓮縣政府北北東方  14.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-08-27 20:22:19,121.851,24.402,3.6,13,宜蘭縣政府南南東方  37.5  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2024-08-28 00:36:17,121.659,23.8178,4,23.8,花蓮縣政府南南東方  19.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-08-28 04:21:27,121.159,23.7462,3.5,5,南投縣政府東南東方  50.8  公里 (位於南投縣信義鄉)(南投縣信義鄉)
小區域有感地震,2024-08-28 16:56:25,121.603,23.1917,3.8,37.7,臺東縣政府東北方  67.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-08-28 19:15:59,121.802,24.4398,3.2,19.3,宜蘭縣政府南方  32.5  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2024-08-28 21:19:26,121.638,23.9503,3.7,34,花蓮縣政府南南東方  4.9  公里 (位於花蓮縣近海)(花蓮縣近海)
458   ,2024-08-29 04:14:52,121.682,24.1615,4.9,28.1,花蓮縣政府北北東方  19.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-08-30 05:59:18,120.626,23.5402,3.1,8.5,嘉義縣政府東北東方  35.2  公里 (位於嘉義縣梅山鄉)(嘉義縣梅山鄉)
